@relation dataset

@attribute rural/urban {0, 1, 2}
@attribute totalnumberofgood real
@attribute totalnumberoflivable real
@attribute totalnumberofdilapidated real
@attribute totalnumberofresidencehouseholds real
@attribute totalnumberofresidencegood real
@attribute totalnumberofresidencelivable real
@attribute totalnumberofresidencedilapidated real
@attribute totalnumberofresidencecumother real
@attribute numberofresidencecumgood real
@attribute residence_cum_livable real
@attribute residence_cum_dilapidated real
@attribute material_roof_gtbw real
@attribute material_roof_pp real
@attribute material_roof_hmt real
@attribute material_roof_mmt real
@attribute material_roof_bb real
@attribute material_roof_ss real
@attribute material_roof_gmas real
@attribute material_roof_concrete real
@attribute material_roof_aom real
@attribute material_roof_gtb real
@attribute material_roof_pp1 real
@attribute material_roof_mub real
@attribute material_roof_wood real
@attribute material_wall_snpwm real
@attribute material_wall_spwm real
@attribute material_wall_gimas real
@attribute material_wall_bb real
@attribute material_wall_concrete real
@attribute material_wall_aom real
@attribute material_floor_mud real
@attribute material_floor_wb real
@attribute material_floor_bb real
@attribute material_floor_stone real
@attribute material_floor_cement real
@attribute material_floor_mf real
@attribute material_floor_aom real
@attribute dwelling_r_ner real
@attribute dwelling_r_or real
@attribute dwelling_r_tr real
@attribute dwelling_r_th_r real
@attribute dwelling_r_fr real
@attribute dwelling_r_fi_r real
@attribute dwelling_r_sra real
@attribute h_size_1 real
@attribute h_size_2 real
@attribute h_size_3 real
@attribute h_size_4 real
@attribute h_size_5 real
@attribute h_size_6_8 real
@attribute h_size_9 real
@attribute o_status_o real
@attribute o_status_r real
@attribute o_status_ao real
@attribute married_c_n real
@attribute married_c_1 real
@attribute married_c_2 real
@attribute married_c_3 real
@attribute married_c_4 real
@attribute married_c_5 real
@attribute dw_tfts real
@attribute dw_tfus real
@attribute dw_cw real
@attribute dw_uw real
@attribute dw_handpump real
@attribute dw_tb real
@attribute dw_spring real
@attribute dw_rc real
@attribute dw_tpl real
@attribute dw_os real
@attribute within_premises real
@attribute near_premises real
@attribute away real
@attribute msl_electricty real
@attribute msl_kerosene real
@attribute msl_se real
@attribute msl_oo real
@attribute msl_ao real
@attribute msl_nl real
@attribute latrine_premise real
@attribute latrine_pss real
@attribute latrine_st real
@attribute latrine_os real
@attribute pit_latrine_svi real
@attribute pit_latrine_sop real
@attribute disposed_drain real
@attribute service_latrine_nrh real
@attribute service_latrine_nsa real
@attribute h_latrine_premoses real
@attribute alternative_source real
@attribute alternative_source_open real
@attribute households_bathroom real
@attribute households_ewr real
@attribute households_no real
@attribute waste_water_cd real
@attribute waste_water_od real
@attribute waste_water_nd real
@attribute cooking_fw real
@attribute cooking_cr real
@attribute cooking_cc real
@attribute cooking_clc real
@attribute cooking_kerosene real
@attribute cooking_lpg_png real
@attribute cooking_electricity real
@attribute cooking_biogas real
@attribute cooking_ao real
@attribute cooking_nc real
@attribute cooking_ih real
@attribute has_kitchen real
@attribute dnhk real
@attribute cooking_oh real
@attribute has_kitchen1 real
@attribute dnh_kitchen real
@attribute no_cooking real
@attribute tnhab real
@attribute assets_rt real
@attribute assets_tel real
@attribute assets_cl_wi real
@attribute assets_clwi real
@attribute assets_tm_lo real
@attribute assets_tm_mo real
@attribute assets_tm_both real
@attribute assets_bicycle real
@attribute assets_smm real
@attribute assets_cjv real
@attribute household_tv_lp real
@attribute none_as real
@attribute permanents real
@attribute semi_permanent real
@attribute total_temporary real
@attribute serviceable real
@attribute non_serviceable real
@attribute unclassifiable real
@attribute contition_t_total real
@attribute contition_t_good real
@attribute contition_t_livable real
@attribute contition_t_dilapidated real
@attribute contition_r_total real
@attribute residence_good real
@attribute residence_livable real
@attribute residence_dilapidated real
@attribute residence_cum_other real
@attribute residence_cum_good real


@data
1,?,50.2,1.2,93.5,45.8,?,?,?,?,3.5,?,17.2,?,55.6,0.3,?,7.6,0.6,14.8,0.4,1.4,0.3,67.1,?,?,?,?,28.1,?,?,83.0,0.1,?,?,?,?,?,1.3,17.6,?,?,?,?,4.5,?,8.3,8.4,13.8,?,?,?,?,?,1.1,?,67.0,16.9,?,?,?,12.6,3.5,0.6,6.5,?,?,?,0.1,?,?,20.9,?,?,?,76.3,?,0.2,0.1,0.0,28.1,2.2,?,?,?,?,0.4,0.0,?,?,0.9,71.0,?,24.0,58.8,?,38.8,?,?,4.2,22.2,?,0.5,8.3,?,0.1,?,0.1,?,?,44.7,?,1.4,?,?,63.1,23.3,16.2,?,5.3,?,50.9,?,57.0,10.0,?,?,22.0,?,54.4,?,14.9,0.9,1.3,?,48.7,?,?,?,?,?,1.1,?,?
2,63.1,35.2,1.7,93.9,59.2,?,1.6,?,3.9,?,?,?,?,?,0.3,7.3,15.0,1.8,?,?,?,0.2,?,0.1,1.2,3.5,0.1,?,?,1.9,38.8,?,3.3,1.7,?,?,?,1.3,?,?,?,?,?,6.4,3.4,6.9,9.2,?,19.2,33.8,?,87.0,?,?,?,67.5,?,?,1.1,?,?,6.9,?,1.5,42.2,?,0.0,?,?,0.6,?,?,?,?,29.1,?,0.2,?,0.1,73.5,?,59.8,?,1.6,0.6,?,0.1,0.6,?,1.4,25.1,56.6,?,22.2,?,61.4,8.7,45.2,?,4.8,?,2.8,?,0.1,0.2,0.1,?,?,64.3,?,1.8,?,0.9,?,65.2,?,52.2,2.0,6.4,3.8,?,?,59.0,?,4.2,?,?,?,21.0,9.3,8.5,0.8,2.5,100.0,?,?,1.7,93.9,59.2,?,1.6,6.1,?
0,?,?,1.8,?,?,?,1.7,?,?,?,?,9.9,?,?,0.5,?,?,0.5,?,0.7,?,?,?,0.1,?,?,?,?,?,1.7,89.5,0.2,?,?,8.4,0.2,?,1.7,?,35.6,22.6,?,?,?,3.3,7.8,?,?,16.5,?,14.3,98.4,?,?,?,?,18.1,?,?,?,?,?,?,11.8,?,0.8,?,?,?,?,11.4,61.6,?,?,79.3,?,?,?,?,11.8,?,?,1.2,2.2,?,0.2,0.0,?,88.2,?,?,?,15.3,77.4,?,22.8,68.6,84.1,7.6,4.7,0.0,0.2,?,?,0.0,0.1,?,?,?,?,3.7,?,?,0.1,?,?,?,0.3,4.9,?,?,1.0,?,9.2,?,0.4,20.4,?,63.1,8.7,?,?,2.2,?,45.7,52.5,?,?,?,?,1.7,5.3,2.3
?,46.2,51.9,?,?,?,49.0,?,?,2.6,?,0.1,?,0.4,?,?,?,?,?,8.7,?,?,0.4,65.8,?,6.2,5.4,0.1,?,0.2,2.0,?,?,?,?,?,0.6,?,?,18.5,?,?,?,5.0,4.8,3.3,7.7,7.7,13.0,16.7,?,?,?,1.8,?,10.4,65.0,17.9,?,?,?,11.4,2.5,?,10.9,72.1,?,0.1,0.3,?,0.4,15.7,?,?,?,?,0.6,?,0.1,0.1,?,?,?,?,?,0.5,0.2,0.0,0.1,?,?,82.9,11.1,?,73.3,?,?,63.8,?,7.0,?,?,?,6.9,0.1,0.0,?,0.2,96.2,50.4,?,?,?,2.3,0.2,?,25.7,?,0.5,?,1.5,47.8,1.3,62.9,?,?,?,?,?,?,?,?,0.5,?,100.0,46.2,51.9,?,94.4,?,49.0,?,?,?
?,50.6,46.7,?,91.5,?,?,?,8.5,?,3.1,0.1,4.8,0.5,?,1.2,7.4,24.5,?,?,?,0.4,?,?,?,2.5,?,?,55.2,0.4,?,41.8,?,?,3.3,47.5,?,?,?,?,?,18.0,12.6,?,?,?,6.9,?,?,18.4,?,11.9,86.3,11.1,2.6,12.7,?,?,?,?,?,44.4,4.3,1.5,?,?,?,?,0.2,?,?,54.5,?,?,68.1,?,0.5,?,?,0.1,?,?,52.3,?,?,0.3,?,?,?,41.3,?,?,?,18.0,35.8,27.5,52.2,20.3,?,?,0.3,0.1,?,?,0.1,0.1,0.1,?,?,53.1,43.0,3.3,?,1.6,?,?,?,?,2.3,?,?,?,3.3,52.7,?,3.9,3.5,17.1,60.3,?,4.0,?,0.3,5.6,?,50.6,46.7,?,?,?,?,?,8.5,?
0,?,?,?,96.9,35.7,55.7,5.5,3.1,1.2,?,0.1,57.6,0.3,3.0,0.4,23.4,1.6,?,?,0.2,?,?,33.4,0.0,1.0,?,?,?,0.6,4.4,?,0.2,2.3,?,5.2,0.1,0.0,4.0,25.4,33.5,?,10.6,4.4,?,?,?,8.8,?,?,?,11.5,98.5,?,?,?,?,17.2,?,?,?,?,2.2,?,10.0,?,0.6,?,0.1,0.1,0.1,12.5,60.7,?,9.3,?,0.6,0.1,0.2,0.1,18.3,?,10.2,?,3.4,0.6,0.2,?,0.2,81.7,1.0,80.7,?,25.1,59.6,?,47.5,?,65.9,?,?,?,?,4.0,0.1,0.1,0.0,0.2,?,?,63.9,7.7,?,?,?,?,?,16.4,?,6.2,?,50.3,1.4,?,?,?,?,?,?,?,34.8,?,4.6,?,100.0,36.9,?,5.7,96.9,?,55.7,5.5,?,?
1,?,?,5.5,?,37.5,?,?,3.5,?,?,0.1,?,?,?,?,27.1,1.7,?,13.5,0.2,?,?,30.7,?,?,1.3,0.1,57.0,?,4.5,85.8,?,?,0.3,?,0.4,?,?,25.5,?,?,?,4.4,?,3.0,?,8.9,?,17.7,37.3,11.4,97.4,1.8,?,11.4,?,17.0,?,0.9,?,?,?,?,?,?,0.7,?,?,?,0.2,18.7,56.6,24.7,15.9,83.1,?,0.1,?,?,24.7,?,15.8,?,3.4,0.6,?,0.3,0.2,75.3,?,74.3,?,24.5,?,?,?,40.1,63.0,?,?,?,0.3,9.2,?,?,0.0,?,92.6,?,60.8,7.2,2.4,?,0.2,67.7,?,?,?,6.4,?,?,?,?,12.6,3.5,1.1,?,?,?,31.9,?,?,4.7,100.0,?,?,?,?,?,53.6,?,3.5,?
2,?,?,4.3,93.6,?,38.5,4.2,6.4,4.0,2.4,?,?,0.3,1.3,?,?,?,?,?,0.3,?,0.3,10.5,?,?,?,0.0,76.5,0.7,?,?,?,?,1.6,?,?,0.1,2.8,?,?,?,11.5,4.4,4.6,?,6.1,9.5,17.5,?,?,?,?,?,1.9,?,?,?,?,?,0.2,?,?,0.5,?,33.0,?,0.0,0.0,0.1,0.4,65.0,25.6,?,?,34.3,?,?,?,?,72.1,7.8,?,?,?,?,0.8,?,?,?,?,27.2,?,19.8,?,17.2,?,11.0,?,5.8,2.2,?,1.8,47.3,?,?,?,0.5,?,57.5,?,3.5,?,?,0.5,64.3,22.4,?,?,?,5.1,61.6,?,?,26.2,?,3.8,?,71.7,?,?,?,?,?,?,?,?,4.3,?,?,?,?,?,?
?,?,?,6.3,?,?,?,?,2.9,?,?,0.1,23.6,?,?,?,?,2.3,?,4.1,0.4,4.0,?,?,?,1.0,0.7,?,48.5,?,?,?,0.4,?,0.2,?,0.2,?,?,?,32.0,?,?,?,7.8,?,?,6.8,?,15.8,37.5,?,98.5,0.9,?,8.5,?,?,8.1,?,?,14.1,?,1.1,?,?,?,?,0.1,?,0.4,27.3,?,?,23.6,?,0.4,?,?,0.1,11.3,?,5.9,?,2.0,0.6,0.2,0.0,?,?,?,?,12.1,?,?,?,?,?,?,4.5,13.8,?,?,6.4,?,0.1,?,?,86.2,38.4,?,?,?,?,0.2,82.7,?,23.4,?,?,?,?,?,?,18.6,2.8,?,5.4,49.2,?,22.5,?,?,?,100.0,49.1,?,?,?,47.7,43.1,6.2,2.9,1.3
?,49.9,?,6.1,96.8,?,42.4,?,?,1.5,?,0.1,22.9,?,21.1,?,46.5,?,?,?,?,3.9,0.4,?,?,?,0.8,0.1,?,0.5,?,78.1,0.4,?,0.3,13.0,0.4,?,3.1,?,?,16.6,12.7,5.5,?,2.7,?,6.8,11.7,?,37.4,?,98.1,?,0.7,8.6,?,?,8.0,?,?,15.3,6.0,1.1,?,?,?,0.1,0.1,?,0.4,29.1,?,16.3,?,?,?,?,?,?,14.0,1.5,?,?,?,0.5,?,0.0,?,86.0,?,84.8,14.4,20.5,65.1,5.1,?,?,?,?,13.2,?,?,?,0.1,?,?,0.2,86.7,39.8,?,?,?,?,0.2,82.6,43.3,?,1.0,?,?,69.2,?,?,19.6,3.0,?,?,?,24.2,?,18.5,?,3.4,100.0,49.9,44.0,?,96.8,?,42.4,?,?,1.5
2,?,?,?,?,?,28.8,?,?,4.9,2.8,0.1,8.5,?,?,?,73.1,?,1.8,6.2,0.2,1.9,?,13.4,0.0,2.1,1.5,0.1,75.9,?,?,?,0.2,?,?,?,?,?,3.0,18.2,?,?,?,4.9,6.8,?,5.4,?,14.3,17.0,?,?,?,?,2.9,?,?,?,6.0,?,?,37.3,7.6,0.8,3.2,44.2,?,0.1,?,?,1.1,61.3,?,?,?,22.1,?,?,0.2,0.2,?,9.3,?,?,3.7,?,?,0.0,0.2,?,0.6,?,?,?,?,?,55.6,20.6,?,1.8,1.6,?,3.9,?,0.1,0.5,?,0.3,?,?,29.9,4.4,?,?,0.3,?,?,59.7,3.6,?,?,?,4.4,?,?,?,4.8,4.1,79.5,?,7.6,6.1,1.5,3.4,100.0,?,31.7,?,?,?,?,?,?,?
0,?,55.2,4.4,96.0,?,52.9,?,?,1.6,2.2,?,46.2,0.3,?,?,?,?,?,1.0,0.3,3.4,?,45.7,0.1,?,?,0.0,?,?,1.8,?,?,3.8,0.1,5.9,?,?,2.2,?,36.6,?,11.3,4.2,4.2,3.4,8.0,?,?,?,38.5,?,?,?,0.5,9.0,?,?,3.7,?,?,4.6,?,0.6,6.0,?,0.7,0.0,0.1,0.1,0.1,?,?,26.6,12.5,?,?,0.2,?,0.1,13.8,?,?,?,?,0.7,0.2,0.0,?,?,1.3,84.9,?,20.4,?,?,?,49.2,?,19.5,?,?,0.2,?,0.1,0.0,0.1,?,?,28.8,66.9,4.1,1.9,2.2,?,66.8,29.4,?,0.5,4.8,1.9,?,?,?,?,1.4,?,12.0,40.7,?,?,35.1,?,2.1,?,?,55.2,4.4,96.0,?,?,?,?,1.6
1,?,54.2,?,?,39.4,?,4.3,?,?,?,?,44.5,?,?,0.2,40.5,?,?,?,?,?,?,43.9,?,0.8,?,0.0,?,?,?,86.9,0.3,4.3,0.1,?,0.2,0.1,2.2,21.4,36.7,20.1,?,?,?,?,8.0,8.6,12.7,16.2,?,?,98.1,?,?,9.0,?,15.1,3.6,?,?,?,?,?,?,83.3,?,?,?,0.1,0.1,12.2,62.1,25.7,?,?,0.4,?,0.1,?,16.7,1.6,?,?,?,0.8,0.2,?,?,?,1.4,?,13.0,20.5,66.5,10.2,?,?,?,?,?,0.1,?,?,0.1,?,?,0.1,?,30.9,65.0,?,?,2.2,?,?,?,19.2,0.5,4.9,?,?,?,?,12.8,1.6,0.6,12.0,42.5,?,36.7,?,3.1,?,?,?,?,4.4,?,39.4,?,4.3,?,?
2,52.7,42.9,?,?,?,?,4.2,10.0,6.4,3.4,?,24.9,0.2,8.3,?,?,?,1.5,?,?,?,?,22.7,0.2,?,1.1,0.0,68.0,?,?,52.3,0.2,?,0.2,?,?,?,?,?,37.2,?,?,4.3,?,?,7.3,9.0,?,16.9,36.7,12.3,?,4.6,?,?,72.7,?,?,?,0.3,?,?,0.5,?,?,1.4,0.0,?,?,?,?,?,?,54.9,?,?,?,?,?,51.4,?,36.3,2.8,4.6,?,0.6,0.0,0.5,48.6,?,46.8,42.8,21.8,?,20.4,?,?,?,?,3.2,?,0.6,?,?,?,?,?,97.0,55.2,41.8,2.9,1.6,1.3,?,64.8,?,?,?,?,2.9,64.1,?,63.5,?,?,1.8,12.3,63.4,15.7,?,?,?,3.1,?,?,42.9,?,90.0,46.3,39.5,?,10.0,6.4
?,?,?,4.6,?,44.9,?,4.4,?,?,2.2,0.1,25.6,?,?,?,?,?,?,?,0.6,3.6,?,?,?,1.8,?,?,?,?,?,?,0.4,?,0.5,?,?,0.1,1.8,23.2,32.9,?,12.0,5.1,8.6,?,?,?,11.8,16.3,37.4,?,98.2,?,?,8.0,60.6,20.6,?,2.4,?,?,?,1.4,?,66.0,1.5,?,?,?,?,23.1,?,?,?,?,?,?,0.2,?,15.6,?,?,1.5,?,0.9,?,?,0.3,?,1.4,83.0,?,15.7,71.7,?,29.1,?,39.9,?,?,0.2,0.5,?,0.1,?,?,?,?,?,45.3,14.9,?,?,?,?,?,?,?,5.6,2.7,59.7,?,80.5,?,?,?,?,?,?,23.1,19.9,?,?,100.0,46.6,?,4.6,?,44.9,?,4.4,4.0,1.7
1,?,?,4.2,95.5,48.9,42.5,?,4.5,?,2.2,0.1,21.1,0.5,?,0.5,42.5,?,2.3,?,?,3.1,0.4,?,0.1,?,?,0.1,54.0,0.7,?,?,0.4,8.3,0.8,25.3,?,?,1.8,?,32.2,?,12.9,5.3,8.9,2.3,6.5,7.6,13.2,?,?,?,?,?,?,?,61.2,20.0,?,?,?,24.5,?,?,?,53.8,1.8,0.1,?,0.1,0.5,35.9,?,21.2,43.6,?,?,0.2,?,?,31.0,?,13.2,?,?,0.8,?,?,0.3,?,?,67.4,?,14.3,?,?,?,?,?,3.5,?,0.3,1.5,22.7,0.1,?,?,0.3,?,?,39.3,?,6.2,5.9,?,73.0,?,39.6,?,6.8,?,?,?,78.1,27.1,?,4.2,7.3,57.4,20.3,?,?,2.6,3.5,?,51.1,44.7,?,?,?,42.5,4.0,4.5,2.2
2,?,30.5,2.9,93.7,?,28.3,?,?,?,2.2,0.1,5.5,?,?,0.5,60.4,?,?,15.3,?,1.1,0.5,?,?,?,?,0.1,77.5,?,?,14.2,?,10.8,2.1,?,?,?,1.9,16.9,?,?,15.8,6.1,?,?,?,?,?,18.7,32.3,?,84.0,13.1,2.9,?,63.4,?,5.6,?,0.7,78.4,5.0,?,1.1,?,2.6,0.1,0.0,0.1,?,80.2,14.4,?,?,10.5,?,0.1,0.2,0.2,84.0,50.7,?,1.9,1.4,?,0.6,0.1,?,?,2.2,?,77.7,9.6,?,?,43.9,8.5,16.0,1.4,?,0.6,?,72.9,?,0.3,?,0.4,?,?,?,?,?,?,0.4,?,46.9,?,?,?,7.9,?,?,69.8,?,?,?,3.7,84.0,?,?,?,0.8,4.7,?,?,30.5,?,93.7,?,?,2.8,6.3,3.9
?,37.2,50.9,11.9,97.5,?,?,11.7,2.5,?,?,0.2,36.8,?,?,?,38.2,?,?,19.4,?,10.6,0.3,20.7,?,?,?,?,61.4,?,?,90.8,?,?,0.2,5.4,?,?,?,?,27.1,11.6,?,2.5,2.8,?,8.6,?,?,16.1,34.9,12.4,98.5,0.8,0.6,12.0,66.5,?,?,1.0,?,?,4.8,0.5,3.2,?,?,0.0,0.1,0.1,?,?,44.8,11.8,14.4,?,?,?,0.1,0.1,13.2,?,7.0,1.1,2.4,?,?,0.2,?,?,?,?,14.0,37.6,?,10.1,59.2,30.7,?,5.6,?,?,0.2,6.8,0.1,?,?,0.2,93.5,24.6,?,6.3,2.2,?,0.2,?,32.8,?,0.4,3.8,2.0,?,?,80.7,?,1.7,?,9.8,56.0,9.4,?,19.0,10.4,5.2,100.0,37.2,?,?,97.5,36.2,?,11.7,?,?
?,?,49.8,11.6,97.2,?,48.4,?,?,?,?,?,?,?,?,?,39.8,2.2,1.7,?,?,?,0.3,?,?,?,0.9,?,?,0.5,5.0,86.3,?,4.0,?,?,0.4,?,?,37.8,27.4,11.9,7.0,2.6,3.0,?,?,?,13.9,16.2,34.8,12.8,97.6,?,?,?,66.3,?,4.1,1.0,0.4,14.5,?,?,?,?,?,?,0.1,0.1,0.4,46.6,?,?,19.0,?,?,0.3,?,?,18.3,?,?,1.1,?,0.9,0.3,0.2,0.2,?,?,?,?,?,?,?,59.4,?,?,?,?,?,?,?,?,?,?,?,?,?,66.5,?,2.0,3.9,?,?,?,20.5,0.6,?,2.1,50.5,?,?,16.1,2.1,?,?,57.5,9.3,27.8,?,9.8,?,?,38.5,49.8,11.6,?,?,48.4,?,?,?
2,?,39.5,?,?,?,?,?,5.5,3.1,?,0.3,19.4,0.8,0.5,0.2,54.9,2.3,2.0,19.6,?,?,0.3,11.3,?,?,1.8,?,75.2,0.9,?,?,0.3,?,0.8,41.5,2.7,0.1,?,?,29.9,?,?,3.5,4.1,?,6.1,?,?,16.6,34.3,16.3,?,8.4,2.9,?,?,16.4,4.5,?,?,33.5,6.0,0.4,?,?,?,?,?,?,1.5,?,17.1,5.8,?,35.6,?,?,0.2,?,?,10.6,?,?,1.7,?,?,0.7,?,?,?,?,?,?,?,?,61.6,6.8,?,2.1,?,0.3,1.6,48.3,?,0.2,0.1,?,?,53.9,?,?,0.8,?,0.3,?,?,?,2.2,?,3.2,?,?,58.2,?,?,?,?,72.3,?,13.0,?,?,6.0,?,51.7,39.5,8.8,?,48.6,?,?,?,?
?,?,51.4,9.3,96.3,?,49.6,9.1,?,1.6,1.8,0.2,?,0.3,14.4,?,52.2,?,?,1.9,?,7.0,0.4,?,0.1,0.8,1.1,0.1,?,?,?,?,?,?,?,?,?,?,?,?,30.6,15.4,?,4.0,5.2,?,7.0,8.1,?,?,?,?,98.5,0.9,0.6,?,?,?,?,1.8,0.6,?,5.8,?,1.5,77.8,?,0.0,?,0.1,?,?,40.4,8.9,?,76.3,0.4,?,0.1,0.1,?,?,?,?,1.9,0.6,0.2,0.0,?,?,0.7,?,?,?,?,10.7,?,?,?,?,18.5,0.1,?,?,0.1,?,?,0.2,?,31.4,?,?,2.4,?,0.2,82.8,34.0,17.5,?,?,3.4,59.2,1.7,?,?,3.2,?,6.6,51.6,18.5,24.4,?,?,?,100.0,?,51.4,?,?,?,49.6,?,?,1.6
?,42.0,49.3,8.7,95.7,?,47.4,8.5,?,2.1,2.0,0.2,25.6,?,12.9,?,55.1,?,2.0,2.2,0.5,6.5,?,29.1,0.1,?,1.3,?,55.7,?,5.4,?,?,?,0.4,14.0,?,?,?,?,30.6,15.6,11.0,4.2,?,3.7,6.9,?,?,16.3,?,15.7,96.6,?,0.9,?,60.5,20.0,?,?,0.6,?,5.6,?,1.3,75.3,0.6,0.0,0.1,?,?,?,?,?,30.6,68.5,?,?,0.1,0.2,?,?,?,?,?,?,?,?,0.2,77.3,?,?,20.5,36.6,?,14.3,48.6,?,62.0,6.0,?,0.2,0.9,?,0.1,0.1,0.1,0.3,93.8,?,57.6,5.9,?,3.7,?,82.1,33.8,?,1.1,5.7,?,?,2.1,?,17.7,3.7,1.7,6.5,54.9,16.9,22.3,?,?,?,100.0,42.0,49.3,8.7,?,39.9,47.4,8.5,?,?
?,?,?,?,?,54.2,33.0,4.7,8.2,4.8,3.1,0.2,11.4,0.5,?,?,73.7,3.0,?,3.7,0.6,?,?,9.6,?,1.9,2.2,0.1,?,0.8,?,?,?,11.2,?,?,?,?,3.4,?,?,?,12.5,5.3,7.2,3.7,5.9,?,?,?,33.8,14.9,84.6,12.6,?,13.5,?,17.2,?,1.5,?,?,?,0.4,?,?,?,?,?,0.1,?,82.9,?,3.2,80.7,18.0,?,0.2,?,0.7,76.2,?,?,?,?,0.4,?,?,?,?,?,20.4,63.5,18.2,?,?,?,?,28.4,?,2.3,0.8,5.0,?,?,0.2,0.1,?,96.9,?,?,?,1.3,1.4,0.5,77.7,32.9,64.6,4.3,?,5.5,?,?,69.1,33.8,7.1,7.0,6.1,?,7.0,?,?,3.0,?,?,?,?,4.9,?,54.2,?,4.7,?,4.8
0,?,?,9.9,95.8,?,44.2,?,4.2,1.7,2.1,?,?,?,?,?,?,?,5.2,19.4,0.5,5.3,0.3,32.8,0.1,?,0.6,?,?,0.4,2.8,90.4,0.2,3.4,?,5.5,0.2,0.1,?,26.0,?,?,?,4.9,6.4,?,?,5.7,10.4,?,?,23.2,?,?,0.5,?,55.5,?,?,3.0,?,?,8.9,?,?,?,?,?,?,?,0.9,?,45.5,?,?,76.5,0.3,0.3,0.1,0.1,?,?,6.1,1.8,3.2,0.7,?,?,0.2,86.1,1.3,84.8,?,?,62.9,7.4,36.8,55.7,59.0,11.2,?,0.1,?,3.3,0.1,?,?,0.2,?,?,?,?,?,?,0.2,?,22.8,15.0,0.6,?,2.5,66.5,?,87.6,16.2,?,0.7,?,55.0,?,?,?,?,3.2,100.0,43.7,46.4,9.9,95.8,42.0,?,9.5,?,?
1,?,45.9,?,95.0,42.1,?,?,?,2.2,?,?,?,0.4,22.1,?,31.3,?,?,?,?,?,?,30.8,?,0.7,0.6,0.1,58.8,?,?,?,?,?,0.2,?,0.4,0.1,?,?,?,15.1,10.6,?,?,2.2,?,?,10.6,?,38.6,?,98.2,?,0.6,7.8,?,?,?,?,1.4,18.0,8.8,?,0.1,71.2,0.2,?,?,0.1,?,?,?,9.3,27.3,71.8,?,0.3,0.1,?,?,2.6,?,1.8,3.5,0.7,0.3,0.2,0.2,81.4,?,79.7,13.5,?,?,8.9,?,51.4,?,10.9,?,0.2,?,?,?,?,0.5,0.2,?,30.4,?,8.5,3.3,?,?,75.9,21.9,16.9,?,6.8,?,?,?,85.5,16.5,2.7,0.9,?,57.0,25.0,14.4,?,?,3.5,?,44.3,45.9,?,95.0,?,?,9.5,5.0,?
2,48.2,?,?,?,42.5,?,?,11.0,?,?,?,11.0,0.7,?,1.1,56.4,?,?,9.7,?,3.0,0.4,15.4,0.1,?,1.1,?,72.5,1.0,?,49.6,?,18.8,0.7,28.7,?,0.1,5.9,?,?,13.8,9.2,?,?,?,5.0,7.0,12.1,15.6,37.8,?,94.9,3.9,?,?,65.7,17.0,5.4,?,?,?,8.0,?,0.1,60.4,?,0.0,?,?,1.7,72.9,21.3,?,62.3,?,0.2,0.3,?,0.3,54.4,9.9,?,2.3,5.3,?,?,1.5,?,?,4.1,?,36.7,28.2,35.1,19.9,?,?,?,9.1,?,?,1.5,25.5,0.1,?,?,?,95.4,?,61.0,?,1.4,2.8,?,50.7,?,30.6,?,7.9,3.1,61.1,2.4,?,18.8,3.2,?,11.8,?,13.9,?,?,2.4,?,100.0,?,42.0,?,89.0,42.5,37.3,9.2,?,?
?,?,?,?,?,40.3,?,?,?,?,?,0.2,?,0.3,23.7,?,?,?,2.8,?,0.4,?,0.3,44.9,?,?,0.8,?,44.8,0.4,?,86.9,0.3,?,?,?,?,0.1,3.9,?,?,15.6,11.4,5.1,6.5,?,?,?,11.6,?,?,19.5,?,?,?,?,55.3,23.0,?,?,?,15.5,?,?,8.0,?,?,0.1,0.1,0.1,?,34.2,?,?,34.6,64.6,0.3,?,0.1,?,13.1,?,6.4,?,2.6,0.7,0.2,0.0,0.2,?,1.2,?,?,?,57.6,5.8,?,?,?,6.9,?,?,0.2,?,?,0.1,0.1,0.2,89.5,36.3,53.2,?,4.5,5.9,0.2,79.0,?,?,0.7,5.9,3.0,?,?,84.7,?,2.6,?,?,?,27.4,?,?,4.5,3.0,100.0,41.6,?,?,?,?,48.2,?,3.1,?
1,42.8,?,8.4,?,?,?,?,3.3,1.5,?,?,25.2,0.3,?,?,36.3,2.9,2.8,?,0.4,?,0.3,43.0,0.1,?,?,?,46.7,?,2.8,?,0.3,?,?,?,?,?,3.8,?,?,15.8,11.6,?,?,3.2,?,?,?,15.4,36.9,19.3,97.6,1.5,?,9.6,55.7,22.7,?,2.6,1.2,17.2,?,1.0,7.6,65.6,0.7,0.1,?,0.1,?,36.2,?,16.0,37.2,62.0,?,0.2,?,0.1,16.2,2.1,?,1.7,2.6,0.7,0.2,?,?,83.8,?,?,?,?,55.6,7.8,39.4,52.8,?,?,?,?,?,?,?,0.1,0.1,?,?,38.0,51.8,10.0,?,5.7,?,?,?,?,0.9,6.1,3.1,64.7,2.3,83.8,?,?,?,6.2,?,?,?,19.3,?,3.1,100.0,42.8,48.8,?,?,41.3,47.1,8.2,?,1.5
